Item,GUID,Type,Reference
aCSPermissionBits,7f561282-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSPermissionBits
aCSPolicy,7f561288-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSPolicy
aCSPolicyName,1cb3559a-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSPolicyName
aCSPriority,7f561281-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSPriority
aCSResourceLimits,2e899b04-2834-11d3-91d4-0000f87a57d4,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSResourceLimits
aCSRSVPAccountFilesLocation,f072230f-aef5-11d1-bdcf-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSRSVPAccountFilesLocation
aCSRSVPLogFilesLocation,1cb3559b-56d0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSRSVPLogFilesLocation
aCSServerList,7cbd59a5-3b90-11d2-90cc-00c04fd91ab1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSServerList
aCSServiceType,7f56127f-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSServiceType
aCSSubnet,7f561289-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSSubnet
aCSTimeOfDay,7f561279-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSTimeOfDay
aCSTotalNoOfFlows,7f561280-5301-11d1-a9c5-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aCSTotalNoOfFlows
activationSchedule,bf967916-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-activationSchedule
activationStyle,bf967917-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-activationStyle
addIn,a8df74aa-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addIn
additionalTrustedServiceNames,032160be-9824-11d1-aec0-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-additionalTrustedServiceNames
addressBookContainer,3e74f60f-3e73-11d1-a9c0-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressBookContainer
addressBookRoots,f70b6e48-06f4-11d2-aa53-00c04fd7d83a,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressBookRoots
addressBookRoots2,508ca374-a511-4e4e-9f4f-856f61a6b7e4,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressBookRoots2
addressEntryDisplayTable,5fd42461-1262-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressEntryDisplayTable
addressEntryDisplayTableMSDOS,5fd42462-1262-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressEntryDisplayTableMSDOS
addressSyntax,5fd42463-1262-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressSyntax
addressTemplate,5fd4250a-1262-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressTemplate
addressType,5fd42464-1262-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addressType
addrType,a8df74ab-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-addrType
aDMD,a8df7390-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aDMD
adminContextMenu,553fd038-f32e-11d0-b0bc-00c04fd8dca6,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminContextMenu
adminCount,bf967918-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminCount
adminDescription,bf967919-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminDescription
adminDisplayName,bf96791a-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminDisplayName
adminExtension,a8df74ac-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminExtension
adminExtensionDLL,a8df7391-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminExtensionDLL
adminMultiselectPropertyPages,18f9b67d-5ac6-4b3b-97db-d0a406afb7ba,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminMultiselectPropertyPages
adminPropertyPages,52458038-ca6a-11d0-afff-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-adminPropertyPages
allowedAttributes,9a7ad940-ca53-11d1-bbd0-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-allowedAttributes
allowedAttributesEffective,9a7ad941-ca53-11d1-bbd0-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-allowedAttributesEffective
allowedChildClasses,9a7ad942-ca53-11d1-bbd0-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-allowedChildClasses
allowedChildClassesEffective,9a7ad943-ca53-11d1-bbd0-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-allowedChildClassesEffective
